Task Name;Predecessor Task;Task Status;PIC ECU;ResponsibleRoleName;Process Link in Plib;Artifact Name;Link to Artifacts;LinkedMilestone;Description;Timely relation to milestone [working days];PLib-Version;Effort[ph];Task ID;additionalArtifacts;Study Project;SWaaP;Option: Product licensed to customer?;Option: External Suppliers in the (Sub)project?;Option: RB internal SW-Supplier which does not follow PS-EC guidelines (except BSW supply);Option: Endeavour is a Innovation Topic;Option: OBD responsibility is at RB;Option: Config Management strategy is different to generic one;Option: SW Sharing done in Project;Option: Project is not a successor project;Option: Security relevant Requirements exist;Option: ASIL D;Option: ASIL C;Option: ASIL B;Option: ASIL A;Option: QM;Option: EDC17 Project;Option: SWaaP is a customer project
Testing: Perform SRR and verify results;PVER_Delivery_012,PVER_Delivery_009;Valid;A,B,C,D,E;SW PD;https://fe-ecupkit.de.bosch.com/pkit/go/process/element.do?elementType=Subprocess&elementName=SW+Product+Development%7CChange+based+Development%7CSystem+Integration+and+Integration+Test+%28CbD%29%7CSeries+Release+Readiness+Test&projectName=Root%7CLibs%7CEngine+ECU%7CDGS-EC+SW+and+Calibration+Product+Development;SRR Test Report;https://fe-ecupkit.de.bosch.com/pkit/go/process/element.do?elementType=Artifact&elementName=Customer+Engineering+Work+Products%7CSRR+Test+Report&projectName=Root%7CLibs%7CEngine+ECU%7CDGS-EC+SW+and+Calibration+Product+Development;Minor,Major,Series, Series - Major,Final - Major,Final;;28;5.6;17;Testing_014;;;;;;;;;;;;;;;;;;;
Testing: Verification of the implemented model against the function specification of the component;NA;Deleted;A,B,C,D,E;SW-D;https://fe-ecupkit.de.bosch.com/pkit/go/process/element.do?elementType=Subprocess&elementName=SW+Product+Development%7CRequirement+based+Development%7CSW+Unit+%26+Component+Verification%7CImplementation+Review%7CPerform+the+implementation+review&projectName=Root%7CLibs%7CEngine+ECU%7CDGS-EC+SW+and+Calibration+Product+Development;;;Minor,Major,Series, Series - Major,Final - Major,Final;Content of function specification Detailed SW Design functional documentation all metadata code efficiency and compliance with the modelling guidelines;0;5.8;10;Testing_013;;;;;;;;;;;;;;;;;;;
Testing: Prepare the test environment and perform Static Code Checks;PVER_Creation_005;Valid;A,B,C,D,E;SW-D;https://fe-ecupkit.de.bosch.com/pkit/go/process/element.do?elementType=Subprocess&elementName=SW+Product+Development%7CRequirement+based+Development%7CSW+Unit+%26+Component+Verification%7CStatic+Code+Checks%7CPrepare+the+test+environment+and+perform+Static+Code+Checks&projectName=Root%7CLibs%7CEngine+ECU%7CDGS-EC+SW+and+Calibration+Product+Development;(SCC) SW-Analyzer report;https://fe-ecupkit.de.bosch.com/pkit/go/process/element.do?elementName=%28SCC%29+SW-Analyzer+report&projectName=DGS-EC+SW+and+Calibration+Product+Development&anon=1;Minor,Major,Series, Series - Major,Final - Major,Final;;0;5.6;60;Testing_012;;;;;;;;;;;;;;;;;;;
Testing: Perform VIVA and verify results;NA;Valid;A,B,C,D,E;VIVA Tester;https://fe-ecupkit.de.bosch.com/pkit/go/process/element.do?elementType=Subprocess&elementName=SW+Product+Development%7CChange+based+Development%7CSystem+Integration+and+Integration+Test+%28CbD%29%7CVirtually+Integrated+Vehicle+Analysis&projectName=Root%7CLibs%7CEngine+ECU%7CDGS-EC+SW+and+Calibration+Product+Development;VIVA Test Report;https://fe-ecupkit.de.bosch.com/pkit/go/process/element.do?elementType=Artifact&elementName=Customer+Engineering+Work+Products%7CVIVA+Test+Report&projectName=Root%7CLibs%7CEngine+ECU%7CDGS-EC+SW+and+Calibration+Product+Development;Series, Series - Major;;70;5.6;10;Testing_011;;;;;;;;;;;;;;;;;;;
Testing: Update the integration tests results as agreed in PVP;"Testing_002
Testing_004
Testing_005
Testing_006
Testing_007
Testing_008
Testing_009
Testing_011
Testing_012
Testing_013
Testing_014
Testing_015
Testing_016
Testing_017
Testing_018
Testing_019
Testing_020
Testing_021
Testing_022
Testing_024";Valid;A,B,C,D,E;SW PD;https://fe-ecupkit.de.bosch.com/pkit/go/process/element.do?elementType=Subprocess&elementName=SW+Product+Development%7CRequirement+based+Development%7CECU+System+Integration+and+Integration+Test%7CVerify+the+test+result&projectName=Root%7CLibs%7CEngine+ECU%7CDGS-EC+SW+and+Calibration+Product+Development;PVP;https://fe-ecupkit.de.bosch.com/pkit/go/process/element.do?elementType=Artifact&elementName=Support+Work+Products%7CPVP&projectName=Root%7CLibs%7CEngine+ECU%7CDGS-EC+SW+and+Calibration+Product+Development;Minor,Major,Series, Series - Major,Final - Major,Final;;0;5.6;10;Testing_010;;;;;;;;;;;;;;;;;;;
Testing: Perform SST and verify results;NA;Valid;A,B,C,D,E;PjM ECU;https://fe-ecupkit.de.bosch.com/pkit/go/process/element.do?elementName=Security+Series+Test&projectName=DGS-EC+SW+and+Calibration+Product+Development&anon=1;SST Test Report;;Minor,Major,Series, Series - Major,Final - Major,Final;;28;5.6;25;Testing_009;;;;;;;;;;;;;;;;;;;
Testing: Perform Robustness-Tests Output State Test and verify results;PVER_Creation_005;Valid;A,B,C,D,E;SW PD;https://fe-ecupkit.de.bosch.com/pkit/go/process/element.do?elementType=Subprocess&elementName=SW+Product+Development%7CChange+based+Development%7CSystem+Integration+and+Integration+Test+%28CbD%29%7CRobustness-Tests&projectName=Root%7CLibs%7CEngine+ECU%7CDGS-EC+SW+and+Calibration+Product+Development;Robustness-Tests Reports  ;https://fe-ecupkit.de.bosch.com/pkit/go/process/element.do?elementType=Artifact&elementName=Customer+Engineering+Work+Products%7CRobustness-Tests+Reports&projectName=Root%7CLibs%7CEngine+ECU%7CDGS-EC+SW+and+Calibration+Product+Development;Major,Series, Series - Major,Final - Major;It is mandatory to perform the test at least once before series production with C sample or D sample ECU to check the behavior of ECU Outputs (Ramp-Up) during Initialization and check interference of MOCSOP (Shut Off Path test). Recommended with automation for every major delivery.;0;5.6;4;Testing_008;;;;;;;;;;;;;;;;;;;
Testing: Perform Robustness-Tests I/O and verify results;PVER_Creation_005;Valid;A,B,C,D,E;SW PD;https://fe-ecupkit.de.bosch.com/pkit/go/process/element.do?elementType=Subprocess&elementName=SW+Product+Development%7CChange+based+Development%7CSystem+Integration+and+Integration+Test+%28CbD%29%7CRobustness-Tests&projectName=Root%7CLibs%7CEngine+ECU%7CDGS-EC+SW+and+Calibration+Product+Development;Robustness-Tests Reports  ;https://fe-ecupkit.de.bosch.com/pkit/go/process/element.do?elementType=Artifact&elementName=Customer+Engineering+Work+Products%7CRobustness-Tests+Reports&projectName=Root%7CLibs%7CEngine+ECU%7CDGS-EC+SW+and+Calibration+Product+Development;Major,Series, Series - Major,Final - Major;;0;5.6;25;Testing_007;;;;;;;;;;;;;;;;;;;
Testing: Perform Robustness-Tests Com and verify results;PVER_Creation_005;Valid;A,B,C,D,E;SW PD;https://fe-ecupkit.de.bosch.com/pkit/go/process/element.do?elementType=Subprocess&elementName=SW+Product+Development%7CChange+based+Development%7CSystem+Integration+and+Integration+Test+%28CbD%29%7CRobustness-Tests&projectName=Root%7CLibs%7CEngine+ECU%7CDGS-EC+SW+and+Calibration+Product+Development;Robustness-Tests Reports;https://fe-ecupkit.de.bosch.com/pkit/go/process/element.do?elementType=Artifact&elementName=Customer+Engineering+Work+Products%7CRobustness-Tests+Reports&projectName=Root%7CLibs%7CEngine+ECU%7CDGS-EC+SW+and+Calibration+Product+Development;Major,Series,Series - Major,Final - Major; ;0;5.6;4;Testing_006;;;;;;;;;;;;;;;;;;;
Testing: Perform PVER-Conf and verify results;PVER_Creation_005;Valid;A,B,C,D,E;SW PD;https://fe-ecupkit.de.bosch.com/pkit/go/process/element.do?elementType=Subprocess&elementName=SW+Product+Development%7CChange+based+Development%7CSystem+Integration+and+Integration+Test+%28CbD%29%7CPVER+Configuration+Test+%28PVER-Conf%29&projectName=Root%7CLibs%7CEngine+ECU%7CDGS-EC+SW+and+Calibration+Product+Development;PVER-Conf Test Specification and Report;https://fe-ecupkit.de.bosch.com/pkit/go/process/element.do?elementType=Artifact&elementName=Customer+Engineering+Work+Products%7CPVER-Conf+Test+Specification+and+Report&projectName=Root%7CLibs%7CEngine+ECU%7CDGS-EC+SW+and+Calibration+Product+Development;Minor,Major,Series, Series - Major,Final - Major,Final;;0;5.6;10;Testing_005;;;;;;;;;;;;;;;;;;;
Testing: Perform CST (Customer project specific Tests) and verify results;PVER_Creation_005;Valid;A,B,C,D,E;SW SD;https://fe-ecupkit.de.bosch.com/pkit/go/process/element.do?elementType=Subprocess&elementName=SW+Product+Development%7CChange+based+Development%7CSystem+Integration+and+Integration+Test+%28CbD%29%7CCustomer+Specific+Tests&projectName=Root%7CLibs%7CEngine+ECU%7CDGS-EC+SW+and+Calibration+Product+Development;CST Test Report;;Minor,Major,Series,Series - Major,Final - Major,Final;;0;5.6;2;Testing_004;;;;;;;;;;;;;;;;;;;
Testing: Perform BFT and verify results;PVER_Creation_005;Valid;A,B,C,D,E;SW PD;https://fe-ecupkit.de.bosch.com/pkit/go/process/element.do?elementType=Subprocess&elementName=SW+Product+Development%7CChange+based+Development%7CSystem+Integration+and+Integration+Test+%28CbD%29%7CBase+Function+Test&projectName=Root%7CLibs%7CEngine+ECU%7CDGS-EC+SW+and+Calibration+Product+Development;BFT Test Report;https://fe-ecupkit.de.bosch.com/pkit/go/process/element.do?elementType=Artifact&elementName=Customer+Engineering+Work+Products%7CBFT+Test+Report&projectName=Root%7CLibs%7CEngine+ECU%7CDGS-EC+SW+and+Calibration+Product+Development;Minor,Major,Series, Series - Major,Final - Major,Final;;0;5.6;8;Testing_002;;;;;;;;;;;;;;;;;;;
Testing: Create and maintain the test specifications and review the test specifications;Project_021;Valid;A,B,C,D,E;SW PD;https://fe-ecupkit.de.bosch.com/pkit/go/process/element.do?elementType=Subprocess&elementName=SW+Product+Development%7CRequirement+based+Development%7CECU+System+Integration+and+Integration+Test%7CCreate+and+maintain+the+test+specification&projectName=Root%7CLibs%7CEngine+ECU%7CDGS-EC+SW+and+Calibration+Product+Development;System Integration Test Case Specification;https://fe-ecupkit.de.bosch.com/pkit/go/process/element.do?elementName=System+Integration+Test+Case+Specification&projectName=DGS-EC+SW+and+Calibration+Product+Development&anon=1;Minor,Major,Series, Series - Major,Final - Major,Final;;0;5.6;4;Testing_001;;;;;;;;;;;;;;;;;;;
"SYS: Create and review Software Architecture
";NA;Valid;A,B;SW SD;https://fe-ecupkit.de.bosch.com/pkit/go/process/element.do?elementName=SW+Architecture+Design+documentation&projectName=DGS-EC+SW+and+Calibration+Product+Development&anon=1;SW Architecture Design documentation;https://fe-ecupkit.de.bosch.com/pkit/go/process/element.do?elementType=Artifact&elementName=Software+Work+Products%7CSW+Architecture+Design+documentation&projectName=Root%7CLibs%7CEngine+ECU%7CDGS-EC+SW+and+Calibration+Product+Development;SW-QGB;;0;5.6;25;SYS_004;;;A,B,C,D,E;;;;;;;;;;;;;;;;
Stakeholder Requirements: Analyze the stakeholder requirements, document the analysis and get the agreement from relevant stakeholders;NA;Valid;A,B,C,D;PjM ECU;https://fe-ecupkit.de.bosch.com/pkit/go/process/element.do?elementType=Artifact&elementName=Management+Work+Products%7CQuotation+Process%7CStakeholder+Requirements+Specification&projectName=Root%7CLibs%7CEngine+ECU%7CDGS-EC+SW+and+Calibration+Product+Development;Requirements Review Protocol;https://fe-ecupkit.de.bosch.com/pkit/go/process/element.do?elementType=Artifact&elementName=Software+Work+Products%7CRequirements+Review+Protocol&projectName=Root%7CLibs%7CEngine+ECU%7CDGS-EC+SW+and+Calibration+Product+Development;Series, Series - Major;;-35;5.8;7;Stakeholder_Requirements_001;Requirements Impact Analysis Result ;;A,B,C,D,E;;;;;;;;;;;;;;;;
Perform the Licensing Process;NA;Valid;A,B,C,D,E;PjM ECU;https://fe-ecupkit.de.bosch.com/pkit/go/process/element.do?elementName=Licensing&projectName=DGS-EC+SW+and+Calibration+Product+Development&anon=1;Know-How Classification Functionality;https://fe-ecupkit.de.bosch.com/pkit/go/process/element.do?elementName=Know-How+Classification+Functionality&projectName=DGS-EC+SW+and+Calibration+Product+Development&anon=1;SW-QGC0,QGP0,SW-QGP0;;0;5.8;46;Special_001;License Request document;;;Y;;;;;;;;;;;;;;;
Security: Conduct the Threat & Risk Analysis Security for the product;Security_001,Security_003;Valid;D;PjM ECU;https://fe-ecupkit.de.bosch.com/pkit/go/process/element.do?elementType=Subprocess&elementName=Management+Processes%7CProject+Management%7CProject+Design+Software%7CCarry+out+Security+specific+activities&projectName=Root%7CLibs%7CEngine+ECU%7CDGS-EC+SW+and+Calibration+Product+Development;Threat and Risk analysis security;https://fe-ecupkit.de.bosch.com/pkit/go/process/element.do?elementType=Artifact&elementName=Customer+Engineering+Work+Products%7CThreat+and+Risk+analysis+security&projectName=Root%7CLibs%7CEngine+ECU%7CDGS-EC+SW+and+Calibration+Product+Development;Major,Series,Series - Major,Final - Major;Shall be taken over from the Platfrom project in case if there is no customer specific changes implemented with regard to product Security features ;-49;5.6;10;Security_017;;;;;;;;;;;;Y;;;;;;;
Security: maintain the Threat & Risk Analysis Security for the product;Security_004;Deleted;A,B,C,D;PjM ECU;https://fe-ecupkit.de.bosch.com/pkit/go/process/element.do?elementType=Subprocess&elementName=Management+Processes%7CProject+Management%7CProject+Design+Software%7CCarry+out+Security+specific+activities&projectName=Root%7CLibs%7CEngine+ECU%7CDGS-EC+SW+and+Calibration+Product+Development;Threat and Risk analysis security;https://fe-ecupkit.de.bosch.com/pkit/go/process/element.do?elementType=Artifact&elementName=Customer+Engineering+Work+Products%7CThreat+and+Risk+analysis+security&projectName=Root%7CLibs%7CEngine+ECU%7CDGS-EC+SW+and+Calibration+Product+Development;Major,Series,Series - Major,Final - Major;;0;5.8;4;Security_016;;;;;;;;;;;;;;;;;;;
Security: Re-check relevance of Data Protection / IoT-Principles;NA;Valid;A,B,C,D;PjM ECU;https://tc0003.si.de.bosch.com/pkit/go/process/element.do?elementName=Security+Engineering+Process&projectName=DGS-EC+SW+and+Calibration+Product+Development&anon=1;Data Protection and IoTP Checklist;https://fe-ecupkit.de.bosch.com/pkit/go/process/element.do?elementType=Artifact&elementName=Customer+Engineering+Work+Products%7CData+Protection+and+IoTP+Checklist&projectName=Root%7CLibs%7CEngine+ECU%7CDGS-EC+SW+and+Calibration+Product+Development ;SW-QGB,QGP2,SW-QGP2;;0;5.6;5;Security_011;;;;;;;;;;;;;;;;;;;
Security: Revisit and update security bill of materials for the project;Security_008;Valid;A,B,C,D,E;PjM ECU;https://tc0003.si.de.bosch.com/pkit/go/process/element.do?elementType=Artifact&elementName=Customer+Engineering+Work+Products%7CSecurity+Bill+of+Materials&projectName=Root%7CLibs%7CEngine+ECU%7CDGS-EC+SW+and+Calibration+Product+Development;Security Bill of Materials;https://tc0003.si.de.bosch.com/pkit/go/process/element.do?elementType=Artifact&elementName=Customer+Engineering+Work+Products%7CSecurity+Bill+of+Materials&projectName=Root%7CLibs%7CEngine+ECU%7CDGS-EC+SW+and+Calibration+Product+Development;Major,Series,Series - Major,Final - Major;;0;5.6;4;Security_010;;;;;;;;;;;;;;;;;;;
Security: Revisit and update project specific security Issue response plan;Security_007;Valid;A,B,C,D,E;PjM ECU;https://tc0003.si.de.bosch.com/pkit/go/process/element.do?elementType=Artifact&elementName=Customer+Engineering+Work+Products%7CSecurity+Issue+Response+Plan&projectName=Root%7CLibs%7CEngine+ECU%7CDGS-EC+SW+and+Calibration+Product+Development;Security Issue Response Plan;https://tc0003.si.de.bosch.com/pkit/go/process/element.do?elementType=Artifact&elementName=Customer+Engineering+Work+Products%7CSecurity+Issue+Response+Plan&projectName=Root%7CLibs%7CEngine+ECU%7CDGS-EC+SW+and+Calibration+Product+Development;SW-QGB,SW-QGC4,SW-QGF,QGP2,SW-QGP2;;0;5.6;4;Security_009;;;;;;;;;;;;;;;;;;;
Security: Create security bill of materials for the project;Security_007;Valid;A,B,C,D,E;PjM ECU;https://tc0003.si.de.bosch.com/pkit/go/process/element.do?elementType=Subprocess&elementName=Views+%26+Use-Cases%7CSecurity+Engineering+Process&projectName=Root%7CLibs%7CEngine+ECU%7CDGS-EC+SW+and+Calibration+Product+Development;Security Bill of Materials;https://tc0003.si.de.bosch.com/pkit/go/process/element.do?elementType=Artifact&elementName=Customer+Engineering+Work+Products%7CSecurity+Bill+of+Materials&projectName=Root%7CLibs%7CEngine+ECU%7CDGS-EC+SW+and+Calibration+Product+Development;SW-QGC0;Get in touch with PSecM to update this plan;0;5.6;31;Security_008;;;;;;;;;;;;;;;;;;;
Security: Create project specific security Issue response plan;Security_004;Valid;A,B,C,D,E;PjM ECU;https://tc0003.si.de.bosch.com/pkit/go/process/element.do?elementType=Subprocess&elementName=Management+Processes%7CProject+Management%7CProject+Design%7CCarry+out+Security+specific+activities&projectName=Root%7CLibs%7CEngine+ECU%7CDGS-EC+SW+and+Calibration+Product+Development;Security Issue Response Plan;https://tc0003.si.de.bosch.com/pkit/go/process/element.do?elementType=Artifact&elementName=Customer+Engineering+Work+Products%7CSecurity+Issue+Response+Plan&projectName=Root%7CLibs%7CEngine+ECU%7CDGS-EC+SW+and+Calibration+Product+Development;SW-QGC0,QGP0,SW-QGP0;Get in touch with PSecM to update this plan;0;5.6;31;Security_007;;;;;;;;;;;;;;;;;;;
Security: Perform Data Protection & IoTP Relevance Assessment;NA;Valid;A,B,C,D;PjM ECU;https://fe-ecupkit.de.bosch.com/pkit/go/process/element.do?elementType=Artifact&elementName=Customer+Engineering+Work+Products%7CData+Protection+and+IoTP+Checklist&projectName=Root%7CLibs%7CEngine+ECU%7CDGS-EC+SW+and+Calibration+Product+Development;Data Protection and IoTP Checklist;https://fe-ecupkit.de.bosch.com/pkit/go/process/element.do?elementType=Artifact&elementName=Customer+Engineering+Work+Products%7CData+Protection+and+IoTP+Checklist&projectName=Root%7CLibs%7CEngine+ECU%7CDGS-EC+SW+and+Calibration+Product+Development;SW-QGC0,QGP0,SW-QGP0;"for all COTS products without any Software / Calibration changes
the existing platform relevance assessment checklist shall be taken";0;5.6;88;Security_005;;;A,B,C,D,E;;;;;;;;;Y;;;;;;;Y
Security: Conduct the Threat & Risk Analysis Security for the product and derive the Requirements specification security;Security_001,Security_003;Valid;A,B,C;PjM ECU;https://fe-ecupkit.de.bosch.com/pkit/go/process/element.do?elementType=Subprocess&elementName=Management+Processes%7CProject+Management%7CProject+Design+Software%7CCarry+out+Security+specific+activities&projectName=Root%7CLibs%7CEngine+ECU%7CDGS-EC+SW+and+Calibration+Product+Development;Threat and Risk analysis security;https://fe-ecupkit.de.bosch.com/pkit/go/process/element.do?elementType=Artifact&elementName=Customer+Engineering+Work+Products%7CThreat+and+Risk+analysis+security&projectName=Root%7CLibs%7CEngine+ECU%7CDGS-EC+SW+and+Calibration+Product+Development;Major,Series,Series - Major,Final - Major;Shall be taken over from the Platfrom project in case if there is no customer specific changes implemented with regard to product Security features ;-49;5.6;59;Security_004;Requirements specification security,PSFL / PSFM;;;;;;;;;;;Y;;;;;;;
Security: Complete the Security Relevance Statement ;NA;Valid;A,B,C,D;PjM ECU;https://fe-ecupkit.de.bosch.com/pkit/go/process/element.do?elementType=Subprocess&elementName=Management+Processes%7CProject+Management%7CProject+Preparation%7CCarry+out+Security+specific+activities+in+Project+preparation&projectName=Root%7CLibs%7CEngine+ECU%7CDGS-EC+SW+and+Calibration+Product+Development;Security Relevance Statement;https://fe-ecupkit.de.bosch.com/pkit/go/process/element.do?elementType=Artifact&elementName=Customer+Engineering+Work+Products%7CSecurity+Relevance+Statement&projectName=Root%7CLibs%7CEngine+ECU%7CDGS-EC+SW+and+Calibration+Product+Development;SW-QGC0,QGP0,SW-QGP0;"for all COTS products without any Software / Calibration changes
the existing platform relevance assessment checklist shall be taken";0;5.6;29;Security_003;;;A,B,C,D,E;;;;;;;;;Y;;;;;;;Y
Security: Complete Development Interface Agreement (DIA) Security;NA;Valid;A,B,C,D;PjM ECU;https://fe-ecupkit.de.bosch.com/pkit/go/process/element.do?elementType=Subprocess&elementName=Management+Processes%7CProject+Management%7CProject+Design+Software%7CCarry+out+Security+specific+activities&projectName=Root%7CLibs%7CEngine+ECU%7CDGS-EC+SW+and+Calibration+Product+Development;Development Interface Agreement (DIA) Security;https://fe-ecupkit.de.bosch.com/pkit/go/process/element.do?elementName=Development+Interface+Agreement+%28DIA%29+Security&projectName=DGS-EC+SW+and+Calibration+Product+Development&anon=1;SW-QGB;;0;5.6;41;Security_001;;;A,B,C;;;;;;;;;Y;;;;;;;Y
