TaskID;TaskName;TaskStatus;ResponsibleRoleName;ProcessLink;Artifact;Description;TimelyRelation;PLibVersion;Milestones;ImpactCategory;PredecessorTasks;OptimisticEstimate;OptimisticEstimateComment;MostLikelyEstimate;MostLikelyEstimateComment;PessimisticEstimate;PessimisticEstimateComment;FinalEstimation;LessonsLearntFactor;EffortEstimation;RemarksAssumptions;StudyProject;SWaaP;ProductLicensedToCustomer;ExternalSuppliers(Sub)project;RBInternalSWSupplierNoPSECGuidelines;EndeavourIsInnovation;OBDResponsibilityIsAtRB;NonGenericConfigManagement;SWSharingIsDoneInProject;PrjIsNotSuccessorProject;HasSecurityRelevantRequirements;ASILD;ASILC;ASILB;ASILA;QM;EDC17Prj;SWaaPIsCustPrj
Innovation_002;Innovation: generate the ideas actively and systematically;1;44;#https://fe-ecupkit.de.bosch.com/pkit/go/process/element.do?elementName=Idea+Generation&projectName=DGS-EC+SW+and+Calibration+Product+Development&anon=1#;"117;120";;0;3;26;"1;2;3;4";;60;Follow Up Project;140;"New Project with ""usual"" product";500;New Project with new product;186,6666667;1;187;;"1;2;3;4";;FALSCH;FALSCH;FALSCH;WAHR;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH
Innovation_003;Innovation: Pre-Evaluate the ideas;1;44;#https://fe-ecupkit.de.bosch.com/pkit/go/process/element.do?elementName=NE+Technical+Roadmap+%28NE+TR%29&projectName=DGS-EC+SW+and+Calibration+Product+Development&anon=1#;117;;0;3;26;"1;2;3;4";Innovation_002;20;Follow Up Project;45;"New Project with ""usual"" product";160;New Project with new product;60;1;60;;"1;2;3;4";;FALSCH;FALSCH;FALSCH;WAHR;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH
Innovation_004;Innovation: Prepare and perform IG0;1;44;;;no template existent;0;3;25;"1;2;3;4";Innovation_001;30;Follow Up Project;70;"New Project with ""usual"" product";250;New Project with new product;93,33333333;1;93;;"1;2;3;4";;FALSCH;FALSCH;FALSCH;WAHR;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH
Innovation_005;Innovation: Prepare and perform IG1;1;44;#https://fe-ecupkit.de.bosch.com/pkit/go/process/element.do?elementName=NE+Technical+Roadmap+%28NE+TR%29&projectName=DGS-EC+SW+and+Calibration+Product+Development&anon=1#;121;;0;3;26;"1;2;3;4";Innovation_003;30;Follow Up Project;70;"New Project with ""usual"" product";250;New Project with new product;93,33333333;1;93;;"1;2;3;4";;FALSCH;FALSCH;FALSCH;WAHR;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH
Innovation_006;Innovation: Prepare and perform IG2;1;44;#https://fe-ecupkit.de.bosch.com/pkit/go/process/element.do?elementName=Pre-Study+%26+Business+Idea+Evaluation&projectName=DGS-EC+SW+and+Calibration+Product+Development&anon=1#;122;;0;3;27;"1;2;3;4";Innovation_007;30;Follow Up Project;70;"New Project with ""usual"" product";250;New Project with new product;93,33333333;1;93;;"1;2;3;4";;FALSCH;FALSCH;FALSCH;WAHR;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH
Innovation_007;Innovation: Evaluate the Business Ideas in a Pre-Study;1;44;#https://fe-ecupkit.de.bosch.com/pkit/go/process/element.do?elementName=Pre-Study+%26+Business+Idea+Evaluation&projectName=DGS-EC+SW+and+Calibration+Product+Development&anon=1#;127;;0;3;27;"1;2;3;4";Innovation_005;90;Follow Up Project;220;"New Project with ""usual"" product";400;New Project with new product;228,3333333;1;228;;"1;2;3;4";;FALSCH;FALSCH;FALSCH;WAHR;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH
PMP_001;PVER Creation: Perform static and dynamic resource analysis;2;4;;;;0;2;"15;16;22;23";"1;2;3;4;5";;4;small project experienced PM;8;Dynalic project needs regular tracking, experienced PM;24;Dynalic project needs regular tracking;10;1;10;;;;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH
PMP_002;PMP: Create and release the Project Management plan for the ECU projects (including sub-project);1;4;#https://fe-ecupkit.de.bosch.com/pkit/go/process/element.do?elementType=Subprocess&elementName=Management+Processes%7CProject+Management%7CProject+Preparation%7CCreate+Project+Management+Plan&projectName=Root%7CLibs%7CEngine+ECU%7CDGS-EC+SW+and+Calibration+Product+Development#;53;;0;1;"1;4;8";"1;2;3;4";"PMP_003;Project_Setup_004;Project_Setup_005";10;Project is based on a previous project;40;Usual PIC (B or C), experienced PjM;80;huge project. Less experience of PjM;41,66666667;1;42;;"1;2;3;4";"1;2;3;4;5";FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH
PMP_003;PMP: Create Communication Plan in the Project Management Plan as per the defined stakeholders communication strategy;1;4;#https://fe-ecupkit.de.bosch.com/pkit/go/process/element.do?elementType=Subprocess&elementName=Management+Processes%7CProject+Management%7CProject+Preparation%7CCreate+Project+Management+Plan&projectName=Root%7CLibs%7CEngine+ECU%7CDGS-EC+SW+and+Calibration+Product+Development#;53;;0;1;"1;4;8";"1;2;3;4";;8;Project is based on a previous project;20;Usual PIC (B or C), experienced CM-R;40;huge project. Less experience of CM-R;21,33333333;1;21;;;;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH
PMP_004;PMP: Create Milestone and Resource plan;1;4;#https://fe-ecupkit.de.bosch.com/pkit/go/process/element.do?elementType=Subprocess&elementName=Management+Processes%7CProject+Management%7CProject+Preparation%7CCreate+Project+Management+Plan&projectName=Root%7CLibs%7CEngine+ECU%7CDGS-EC+SW+and+Calibration+Product+Development#;27;;0;1;"1;4;8";"1;2;3;4";;5;single core system;8;usual multicore system;30;complex multicore system;11,16666667;1;11;;;"1;2;3";FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH
PMP_006;PMP: Create the project-specific CM-Plan and get review;1;4;#https://fe-ecupkit.de.bosch.com/pkit/go/process/element.do?elementType=Subprocess&elementName=Management+Processes%7CProject+Management%7CProject+Preparation%7CCreate+Project+Management+Plan&projectName=Root%7CLibs%7CEngine+ECU%7CDGS-EC+SW+and+Calibration+Product+Development#;66;;0;1;"1;4;8";"1;2;3;4";;8;only small adaptions to the PRM in Plib;50;based on previous project;100;to be created for the first time;51,33333333;1;51;;"1;2;3;4";"1;2;3;4";FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH
PMP_007;PMP: Create the PVP and get approval for it;1;4;#https://fe-ecupkit.de.bosch.com/pkit/go/process/element.do?elementType=Subprocess&elementName=Management+Processes%7CProject+Management%7CProject+Preparation%7CCreate+Project+Management+Plan&projectName=Root%7CLibs%7CEngine+ECU%7CDGS-EC+SW+and+Calibration+Product+Development#;;;0;1;"1;4;8";"1;2;3;4;5";;2;Carry over project, minimal changes to Plib strategy;4;New project medium changes to Plib strategy;6;Many changes to Plib strategy;4;1;4;;"1;2;3;4;5";"1;2;3;4;5";FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;WAHR;WAHR;WAHR;WAHR;WAHR;FALSCH;FALSCH
PMP_008;PMP: Determine the PIC (Project Impact Category) and get approval;1;4;#https://fe-ecupkit.de.bosch.com/pkit/go/process/element.do?elementType=Subprocess&elementName=Management+Processes%7CProject+Management%7CProject+Preparation%7CCreate+Project+Management+Plan&projectName=Root%7CLibs%7CEngine+ECU%7CDGS-EC+SW+and+Calibration+Product+Development#;51;;0;1;"1;4;8";"1;2;3;4;5";;1;based on previous Project;1,5;take it and do it;3;Discussions with PM about resizing;1,666666667;1;2;;"1;2;3;4;5";"1;2;3;4;5";FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;WAHR
PMP_010;PVER Creation: Generate the SSD rules file and perform a syntax check for an data set;2;4;;;;0;2;"15;16;22;23";"1;2;3;4;5";;6;small project;12;medium project experienced PM;24;large project, many subprojects, inexperienced PM;13;1;13;;;;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH
PMP_011;PMP: Prepare the PVP and plan the tests and activities necessasary for upcoming delivery and get approval from Lead EPQ;1;4;#https://fe-ecupkit.de.bosch.com/pkit/go/process/element.do?elementType=Subprocess&elementName=Management+Processes%7CProject+Management%7CProject+Design%7CMaintain+Project+Management+Plan&projectName=Root%7CLibs%7CEngine+ECU%7CDGS-EC+SW+and+Calibration+Product+Development#;75;;-28;1;"1;15;16;17;18;22;23";"1;2;3;4;5";;6;small project;12;medium project experienced PM;24;large project, many subprojects, inexperienced PM;13;1;13;;;;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH
PMP_012;PMP: Register and plan the PMAP as described in the process;1;4;#https://fe-ecupkit.de.bosch.com/pkit/go/process/element.do?elementType=Subprocess&elementName=Management+Processes%7CProject+Management%7CProject+Preparation%7CCreate+Project+Management+Plan&projectName=Root%7CLibs%7CEngine+ECU%7CDGS-EC+SW+and+Calibration+Product+Development#;;;0;1;"1;4;8";"1;2;3;4";;2;simple doing;2;simple doing;2;simple doing;2;1;2;;;;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH
PMP_013;PMP: Update the PMP with necessary changes and perform the review. For major changes, get Workon approval of PMP;1;4;#https://fe-ecupkit.de.bosch.com/pkit/go/process/element.do?elementType=Subprocess&elementName=Management+Processes%7CProject+Management%7CProject+Design%7CMaintain+Project+Management+Plan&projectName=Root%7CLibs%7CEngine+ECU%7CDGS-EC+SW+and+Calibration+Product+Development#;53;;0;4;7;"1;2;3;4";;4;small changes, existing PVP;8;few changes , new PVPinexperienced PM;12;Lot of corrections requiring re estimation, inexperienced PM;8;1;8;;;;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH
PMP_014;PMP: Update the effort estimation for the current phase taking lessons learnt factor from previous subphase (if available);1;4;#https://fe-ecupkit.de.bosch.com/pkit/go/process/element.do?elementType=Subprocess&elementName=Management+Processes%7CProject+Management%7CProject+Design%7CMaintain+Project+Management+Plan&projectName=Root%7CLibs%7CEngine+ECU%7CDGS-EC+SW+and+Calibration+Product+Development#;27;;-28;1;6;"1;2;3;4";;4;small project;8;medium project medium team size;24;large project, large team distributed across;10;1;10;;;;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH
PMP_015;PMP: Update the MCR plan with budget and cost demand for current subphase;1;4;#https://fe-ecupkit.de.bosch.com/pkit/go/process/element.do?elementType=Subprocess&elementName=Management+Processes%7CProject+Management%7CProject+Design%7CMaintain+Project+Management+Plan&projectName=Root%7CLibs%7CEngine+ECU%7CDGS-EC+SW+and+Calibration+Product+Development#;27;;-28;1;"16;17;22;23";"1;2;3;4";;2;small project;8;medium project experienced PM;16;large project, many subprojects, inexperienced PM;8,333333333;1;8;;;;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH
PMP_016;PMP: Create Project management Plan Baseline including review;2;4;;;;0;2;2;"1;2;3;4;5";;4;Small Project, lesser phases and deliveries;6;Medium project, few deliveries;8;large Project, many deliveries and tough situations;6;1;6;;;;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH
PMP_017;PMP: Get the PMP reviewed by Lead-EPQ and approved by workon approval by PRC;2;4;#https://fe-ecupkit.de.bosch.com/pkit/go/process/element.do?elementType=Artifact&elementName=Management+Work+Products%7CProject+Management+Plan&projectName=Root%7CLibs%7CEngine+ECU%7CDGS-EC+SW+and+Calibration+Product+Development#;53;;-35;4;7;"1;2;3;4";;2;Project is based on a previous project;4;Usual PIC (B or C), experienced CM-R;6;huge project. Less experience of CM-R;4;1;4;;;;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH
PMP_019;PMP: Establish branch management strategy and review it;1;4;#https://fe-ecupkit.de.bosch.com/pkit/go/process/element.do?elementName=Establish+branch+management+strategy&projectName=DGS-EC+SW+and+Calibration+Product+Development&anon=1#;64;;0;1;1;"1;2;3;4";;2;Project is based on a previous project;6;Usual PIC (B or C), experienced CM-R;12;huge project. Less experience of CM-R;6,333333333;1;6;;;;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH
PMP_020;PMP: Create project specific CRM strategy in reference with PS-EC generic procedure and review it;1;4;#https://fe-ecupkit.de.bosch.com/pkit/go/process/element.do?elementType=Activity&elementName=Support+Processes%7CAA+CRM+Strategy+Scope+Generic&projectName=Root%7CLibs%7CEngine+ECU#;67;;0;1;1;"1;2;3;4";;1;Project is based on a previous project;2;new project, experienced PjM;3;new project, unexperienced PjM;2;1;2;;;"1;2;3;4;5";FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH
PMP_021;Testing: Prepare the test environment and perform Static Code Checks;2;4;;;;0;2;"15;16;22;23";"1;2;3;4;5";;40;few FMEA relevant changes, carry over project;16;;24;;21,33333333;1;21;;;;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH
PMP_022;Testing: Verification of the implemented model against the function specification of the component;2;4;;;;0;2;"15;16;22;23";"1;2;3;4;5";;1;Baseline only to be updated;4;Baseline to be updated to new template;8;Baseline to be created newly;4,166666667;1;4;;;;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH
PMP_023;Testing: Update the integration tests results as agreed in PVP;2;4;;;;0;2;"15;16;22;23";"1;2;3;4;5";;8;small project;16;medium project;24;large project with many SW lines;16;1;16;;;;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH
PMP_024;Testing: Create and maintain the test specifications and review the test specifications;2;4;;;;0;2;"15;16;22;23";"1;2;3;4;5";;8;small project;16;medium project;24;large project with many SW lines;16;1;16;;;;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH
PMP_025;PMP: Create and release the Project Management plan for the ECU projects (including sub-project);2;4;;;;0;2;"4;8";"1;2;3;4;5";;10;Project is based on a previous project;40;Usual PIC (B or C), experienced PjM;80;huge project. Less experience of PjM;41,66666667;1;42;;;;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH
PMP_026;PMP: Create Communication Plan in the Project Management Plan as per the defined stakeholders communication strategy;2;4;;;;0;2;"4;8";"1;2;3;4;5";;2;Project is based on a previous project;6;Usual PIC (B or C), experienced PjM;12;huge project. Less experience of PjM;6,333333333;1;6;;;;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH
PMP_027;PMP: Create Milestone and Resource plan;2;4;;;;0;2;"4;8";"1;2;3;4;5";;5;single core system;8;usual multicore system;30;complex multicore system;11,16666667;1;11;;;;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH
PMP_028;PMP: Update PMP with key stakeholders;2;4;;;;0;2;"4;8";"1;2;3;4;5";;2;small project;8;medium project experienced PM;16;large project, many subprojects, inexperienced PM;8,333333333;1;8;;;;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH
